,Kod,Popis,Typ
903,6.2.2.2.2,"Některé spojovací prvky (šrouby, pružiny) upevnění kabiny, karoserie nebo nástavby k podvozku nebo rámu vozidla jsou uvolněné, poškozené nebo chybí nebo spojení zjevně neodpovídá požadavkům výrobce a je bezprostředně ohrožena bezpečnost jízdy vozidla.",C
904,6.2.2.3.1,"Upevňovací body (úchyty) nebo spojovací desky na rámu nebo karosérii nebo nástavbě jsou nadměrně zkorodované, zdeformované nebo prasklé.",B
905,6.2.2.3.2,"Upevňovací body (úchyty) nebo spojovací desky na rámu nebo karosérii nebo nástavbě jsou natolik zkorodované, zdeformované nebo prasklé, že je bezprostředně ohrožena bezpečnost jízdy vozidla.",C
906,6.2.3.1,Dveře nelze zvenku nebo zevnitř otevřít nebo spolehlivě zavřít nebo nelze dveře otevřít v plném rozsahu.,B
907,6.2.3.2.1,Dveře nelze spolehlivě zajistit proti samovolnému otevírání.,B
908,6.2.3.2.2,Dveře nelze spolehlivě zajistit v otevřené poloze (skříň).,B
909,6.2.3.2.3,Dveře nelze zajistit proti samovolnému otevírání a tím je bezprostředně ohrožena bezpečnost jízdy vozidla.,C
910,6.2.3.3.1,"Uvolněné nebo opotřebené závěsy dveří, vodicí kladky posuvných dveří, omezovače dveří, avšak tato závada nemá vliv na spolehlivost jejich otvírání a zavírání.",A
911,6.2.3.3.2,"Některý prvek ze systému dveřních závěsů nebo dveřních zámků je nadměrně opotřebovaný, poškozený, nefunguje správně nebo chybí.",B
912,6.2.3.3.3,"Stav systému dveřních závěsů nebo dveřních zámků je v tak zhoršeném stavu (poškozený, nadměrně opotřebovaný, nefunguje správně, chybí), že je bezprostředně ohrožena bezpečnost jízdy vozidla.",C
913,6.2.3.3.4,"Dveře jsou nadměrně zkorodované, poškozené, zdeformované nebo provedení dveří neodpovídá požadavkům.",B
914,6.2.3.3.5,"Dveře chybí nebo jsou v tak zhoršeném stavu (např. nadměrně zkorodované nebo poškozené), že je bezprostředně ohrožena bezpečnost jízdy vozidla.",C
915,6.2.3.4,Nebezpečná úprava nebo neschválená změna dveří nebo dveřního systému.,B
916,6.2.3.5.1,Kapotu / víko zavazadlového prostoru nelze spolehlivě zajistit v otevřené poloze.,A
917,6.2.3.5.2,Kapotu / víko zavazadlového prostoru nelze spolehlivě otevřít nebo zavřít.,B
918,6.2.3.6,"U přední kapoty / předního víka zavazadlového prostoru, otvírané směrem dozadu, bezpečnostní pojistka proti samovolnému otevření, chybí nebo není funkční nebo neodpovídá požadavkům.",C
919,6.2.3.7,"Závěsy kapoty / víka zavazadlového prostoru uvolněné, poškozené nebo zjevně opotřebené.",B
920,6.2.4.1.1,"Podlaha je ve zhoršeném stavu (např. děravá, nadměrně zkorodovaná, uvolněná) nebo neodpovídá požadavkům.",B
921,6.2.4.1.2,"Podlaha je v tak zhoršeném technickém stavu (např. děravá, nadměrně zkorodovaná, uvolněná), že je bezprostředně ohrožena bezpečnost jízdy vozidla nebo provoz na pozemních komunikacích.",C
922,6.2.5.1.2,"Větši vůle než provozní v systému posouvání / seřízení sedadla řidiče (podélné, výškové, úhlové), ovlivňující mechanické vlastnosti sedadla (vůle / tuhost).",B
923,6.2.5.1.3,"Konstrukce sedadla řidiče je poškozená nebo nadměrně opotřebená (sedák / opěradlo), prasklá, deformovaná nebo neúplná (např. chybí opěrky hlavy) nebo poškození sedadla může způsobit zranění řidiče (např. chybějící polstrování) nebo typ sedadla zjevně neodpovídá požadavkům.",B
924,6.2.5.1.4,"Sedadlo řidiče chybí nebo nosná konstrukce sedadla řidiče je poškozená natolik, zeje bezprostředně ohroženo bezpečné ovládání vozidla.",C
925,6.2.5.2.1,"Některý spojovací prvek ukotvení sedadla řidiče je zjevně uvolněný, prasklý nebo chybí nebo kotevní úchyt (včetně okolí) je nadměrně zkorodovaný nebo způsob ukotvení sedadla neodpovídá požadavkům (např. mimo kotevní úchyty).",B
926,6.2.5.2.2,"Ukotvení sedadla řidiče je natolik nespolehlivé (uvolněné/prasklé/chybějící spojovací prvky, nadměrně zkorodované kotevní úchyty), zeje bezprostředně ohrožena bezpečnost jízdy vozidla.",C
927,6.2.5.3.1,"Výškové nebo úhlové nebo podélné seřízení sedadla řidiče, je-li vyžadováno, není funkční nebo nelze sedadlo spolehlivě aretovat v požadované poloze.",B
928,6.2.5.3.2,"Sedadlo řidiče nelze zajistit v poloze vhodné pro ovládání vozidla nebo aretace sedadla v požadované poloze je natolik nespolehlivá že, je bezprostředně ohroženo bezpečné ovládání vozidla.",C
929,6.2.6.1.2,"Konstrukce sedadla je poškozená nebo nadměrně opotřebená (sedák / opěradlo), prasklá, deformovaná nebo neúplná (např. chybí opěrky hlavy) nebo poškození sedadla může způsobit zranění přepravované osoby (např. chybějící polstrování) nebo typ sedadla (provedení) neodpovídá požadavkům.",B
930,6.2.6.1.3,"Větší vůle než provozní v systému posouvání / seřízení sedadla (podélné, výškové, úhlové), je-li instalováno, ovlivňující mechanické vlastnosti sedadla (vůle / tuhost).",B
931,6.2.6.2,Počet kotevních úchytů / sedadel ve vozidle nesouhlasí (chybí / nadpočet) s údaji uvedenými v dokumentaci vozidla.,B
932,6.2.6.3.1,Některý spojovací prvek ukotvení sedadla je zjevně uvolněný.,A
933,6.2.6.3.2,"Některý spojovací prvek ukotvení sedadla je zjevně uvolněný, prasklý nebo chybí nebo způsob ukotvení sedadla neodpovídá požadavkům nebo kotevní úchyt (včetně okolí) je nadměrně zkorodovaný a tato závada ovlivňuje spolehlivost ukotvení sedadla.",B
934,6.2.7.1.1,"Ovladač vozidla je poškozený, nefunguje správně, nebo je neodborně změněn tak, že může při ovládání vozidla způsobit zranění řidiče (např. ostré hrany na řadicí páce, pedálech / ručních pákách) nebo neodpovídá požadavkům (např. u ručních ovladačů motocyklů chybí předepsané zaoblení).",B
935,6.2.7.1.2,"Jakýkoliv ovladač (např. řadicí páka, pedály / páky, ruční ovladače apod.) nezbytný pro bezpečné ovládání vozidla nefunguje správně, je vadný nebo poškozený tak, že vozidlo nelze spolehlivě a bezpečně ovládat.",C
936,6.2.8.1.1,"Stupátko nebo schůdky u vozidla poškozeny, avšak tato závada nemá vliv na spolehlivost nebo bezpečnost.",A
937,6.2.8.1.2,"Stupátka nebo schůdky u vozidla jsou nadměrně zkorodovány nebo přidržovací madla, stupátka nebo schůdky jsou uvolněné nebo poškozené tak, že nejsou spolehlivé nebo neodpovídají požadavkům nebo, jsou-li vyžadovány, chybí (např. u motocyklů).",B
938,6.2.8.2,"Stupátka, schůdky nebo přidržovací madla ve stavu, který by mohl způsobit zranění osoby při nastupování / vystupování nebo by mohly způsobit zachycení.",B
939,6.2.9.1.1,"Některý upevňovací prvek výbavy vozidla je uvolněný, ale tato závada nemá vliv na spolehlivost upevnění výbavy.",A
940,6.2.9.1.2,"Upevnění výbavy vozidla, je vadné nebo uvolněné nebo nespolehlivé.",B
941,6.2.9.1.3,Montáž výbavy vozidla na vozidlo neodpovídá požadavkům (např. ochranné rámy).,B
942,6.2.9.2.1,"Některý spojovací prvek upevnění samostatného technického celku je uvolněný, ale tato závada nemá vliv na spolehlivost upevnění samostatného technického celku.",A
943,6.2.9.2.2,"Způsob upevnění samostatného technického celku k podvozku nebo rámu vozidla (počet upevňovacích bodů, jejich umístění nebo provedení) zjevně neodpovídá požadavkům výrobce vozidla nebo je nespolehlivé.",B
944,6.2.9.2.3,"Způsob upevnění samostatného technického celku k podvozku nebo rámu vozidla (počet, rozmístění, provedení upevňovacích bodů) zjevně neodpovídá požadavkům výrobce vozidla nebo je nespolehlivý a je bezprostředně ohrožena bezpečnost jízdy vozidla.",C
945,6.2.9.2.4,"Některé spojovací prvky (šrouby, pružiny) uchycení samostatného technického celku k podvozku nebo rámu vozidla jsou uvolněné, poškozené, chybí nebo použité spojovací prvky zjevně neodpovídají požadavkům výrobce.",B
946,6.2.9.2.5,"Některé spojovací prvky (šrouby, pružiny) uchycení samostatného technického celku k podvozku nebo rámu vozidla jsou uvolněné, poškozené nebo chybí nebo použité spojovací prvky zjevně neodpovídají požadavkům výrobce a tím je bezprostředně ohrožena bezpečnost jízdy vozidla.",C
947,6.2.9.2.6,Upevňovací body (úchyty) nebo spojovací desky na rámu nebo samostatném technickém celku jsou zjevně nadměrně zkorodované nebo zdeformované nebo prasklé.,B
948,6.2.9.2.7,"Upevňovací body (úchyty) nebo spojovací desky na rámu nebo samostatném technickém celku jsou natolik zkorodované nebo zdeformované nebo prasklé, že je bezprostředně ohrožena bezpečnost jízdy vozidla.",C
949,6.2.9.3,"Vozidlo, není-li stanoveno jinak, je vybaveno výbavou vozidla (autodoplňky), jejíž technická způsobilost není schválena (chybí povinné označení např. schvalovací značkou ATEST 8SDXXXX).",B
950,6.2.9.4,"U samostatného technického celku, který je namontován na vozidle: 1) Chybí záznam o schválení přestavby (pevná nástavba) v dokumentaci vozidla (ORV, OTP, technický průkaz vozidla) nebo",B
951,6.2.9.5,"Na povrchu samostatného technického celku (výměnná nástavba /pracovní stroj nesený) nebo na povrchu výbavy vozidla jsou nebezpečné vnější díly, které mohou způsobit zranění.",B
952,6.2.9.6.1,"Zařízení pro zajištění nebo uchycení kontejneru k vozidlu je opotřebené nebo poškozené (deformované, prasklé) tak, že zjevně není plně funkční.",B
953,6.2.9.6.2,"Zařízení pro zajištění nebo uchycení kontejneru k vozidlu není funkční nebo je poškozené tak, že přepravovaný kontejner nelze bezpečně zajistit v přepravní poloze.",C
954,6.2.9.7.1,Netěsnost hydraulického zařízení.,A
955,6.2.9.7.2,Z hydraulického zařízení odkapává olej.,B
956,6.2.10.1.1,"Zástěrka nebo zařízení proti rozstřiku s pohlcováním energie je uvolněné nebo poškozené, ale tato závada neovlivňuje spolehlivost jejich upevnění nebo funkci.",A
957,6.2.10.1.2,"Zástěrka / zařízení proti rozstřiku s pohlcováním energie, je-li vyžadováno, chybí nebo je poškozené natolik, že neplní svoji funkci.",B
958,6.2.10.1.3,"Upevnění zástěrky nebo zařízení proti rozstřiku s pohlcováním energie je natolik nespolehlivé, že může upadnout.",B
959,6.2.10.2.1,"Na vozidle je kryt kola/blatník uvolněný nebo poškozený, ale tato závada nemá vliv na spolehlivost jejich upevnění nebo funkci.",A
960,6.2.10.2.2,"Na vozidle, je-li vyžadováno, chybí kryt kola/blatník nebo je kryt kola/blatník uvolněný, nadměrně zkorodovaný nebo poškozený tak, že neplní svoji funkci.",B
961,6.2.10.3,"Způsob montáže krytu kola / blatníku na vozidle (jeho umístění, výška od kola) neodpovídá požadavkům.",B
962,6.2.10.4.1,"Parametry (provedení, velikost) zařízení proti rozstřiku s pohlcováním energie / zástěrky nebo způsob jejich montáže na vozidle není v souladu s požadavky.",B
963,6.2.10.4.2,"Parametry (provedení, šířka) krytu kola /blatníku nejsou v souladu s požadavky (kryty kol nezakrývají celou šířku běhounu pneumatiky apod.).",B
964,6.2.11.1,"Stojan u motocyklu je uvolněný nebo nadměrně zkorodovaný nebo je poškozený natolik, že neplní svoji funkci.",B
965,6.2.11.2,Stojan u motocyklu chybí nebo neodpovídá požadavkům.,B
966,6.2.11.3,Zajištění stojanu proti vysunutí během jízdy není plně funkční nebo není spolehlivé.,C
967,6.2.12.1,"Držadla nebo stupačky u motocyklu chybí (jsou demontované), jsou velmi zkorodované nebojsou natolik poškozené, že neplní svoji funkci.",B
968,6.2.12.2,Držadla nebo stupačky u motocyklu neodpovídají požadavkům.,B
969,6.2.90.1.2,"Zjevná koroze, deformace nebo praskliny bočnice, čela nebo sloupku, která narušuje pevnost nebo těsnost valníkové karoserie nákladového prostoru.",B
970,6.2.90.1.3,"Bočnice, čela nebo sloupky valníkové karoserie nákladového prostoru jsou v natolik zhoršeném technickém stavu (např. nadměrná koroze, deformace nebo praskliny), zeje bezprostředně ohrožena bezpečnost jízdy vozidla.",C
971,6.2.90.1.4,Bočnice a čela u valníkové karoserie na vozidle chybí (neschválená přestavba).,B
972,6.2.90.2.2,"Upevnění čela nebo sloupků valníkové karoserie nákladního prostoru je uvolněné natolik, že je narušena pevnost a spolehlivost konstrukce valníkové karoserie.",B
973,6.2.90.2.3,"Upevnění čela nebo sloupků valníkové karoserie nákladního prostoru je natolik nespolehlivé, že je bezprostředně ohrožena bezpečnost jízdy vozidla.",C
974,6.2.90.3.2,"Závěsy bočnic jsou zjevně opotřebované, poškozené, uvolněné nebo některé závěsy bočnic chybí.",B
975,6.2.90.3.3,"Uchycení bočnic je natolik nespolehlivé, že je bezprostředně ohrožena bezpečnost jízdy vozidla.",C
976,6.2.90.4.2,"Některá část systému zavírání / otevírání nebo zajištění bočnic je zjevně opotřebovaná, zkorodovaná nebo neodpovídá požadavkům nebo některá část systému chybí nebo je poškozená tak, že některá část bočnice nelze spolehlivě uzavřít nebo zajistit proti otevření.",B
977,6.2.90.4.3,"Některé části systému zavírání / otevírání nebo zajištění bočnic jsou natolik nespolehlivé, že hrozí bezprostřední nebezpečí otevření bočnice.",C
978,6.2.90.5,"Nebezpečná úprava systému zavírání / otevírání nebo zajištění bočnic, která má vliv na jeho funkci nebo spolehlivost.",B
979,6.2.91.1.2,"Opera přípojného vozidla, je-li vyžadováno, chybí nebo je popraskaná, neúplná, deformovaná nebo není spolehlivá nebo mechanismus pro vysouvání opery je vadný a opera nelze vysunout.",B
980,7.1.1.1.1,"Kotevní úchyty pro bezpečnostní pás, je-li bezpečnostní pás vyžadován, chybí nebo kotevní úchyty neodpovídají požadavkům.",B
981,7.1.1.1.2,"Bod ukotvení bezpečnostního pásu zjevně nadměrně zkorodovaný (včetně okolí) nebo poškozený tak, že ukotvení bezpečnostního pásu není spolehlivé.",B
982,7.1.1.1.3,Stav ukotvení bezpečnostního pásu bezprostředně ohrožuje bezpečnost.,C
983,7.1.1.2,"Některá část připevňovacího kování bezpečnostních pásů je uvolněná nebo poškozená tak, že ukotvení bezpečnostního pásu není spolehlivé.",B
984,7.1.2.1,"Sedadlo vozidla, je-li vyžadováno, není vybaveno bezpečnostním pásem.",B
985,7.1.2.2.3,"Popruh bezpečnostního pásu poškozen tak, že je narušena jeho pevnost (např. naříznutý, prodřený, roztřepený) nebo popruh bezpečnostního pásu neodpovídá požadavkům.",B
986,7.1.2.2.4,"Seřizovači zařízení pásu pro ruční seřízení je poškozeno tak, že bezpečnostní pás nelze snadno a spolehlivě seřídit nebo některá tuhá část soupravy pásu (seřizovači zařízení, spony) má na svém povrchu ostré hrany, které mohou třením způsobit opotřebení nebo porušení popruhů nebo způsobit zranění osob nebo některá tuhá část soupravy pásu vykazuje známky poškození nebo koroze, která ohrožuje správnou funkci zařízení.",B
987,7.1.2.3,"Vozidlo není na všech sedadlech, je-li vyžadováno, vybaveno předepsaným typem bezpečnostních pásů (břišní / tříbodový / samonavíjecí apod.) nebo typem zádržného systému (sedadlo s ukotvenými pásy).",B
988,7.1.2.4,Bezpečnostní pás nelze spolehlivě zapnout nebo rozepnout.,B
989,7.1.2.5,Navíječ bezpečnostního pásu nenavijí nebo nenavijí správně nebo neblokuje.,B
990,7.1.2.6,"Signalizace nezapnutí bezpečnostního pásu, je-li vyžadovaná, nefunguje.",A
991,7.1.3.1.1,"Omezovač bezpečnostních pasů, je-li vyžadován, není zjevně funkční nebo chybí nebo zjevně neodpovídá požadavkům.",B
992,7.1.3.1.2,Systém ukazuje závadu omezovače bezpečnostního pásu přes elektronické rozhraní vozidla,B
993,7.1.4.1.1,"Předepínací zařízení bezpečnostního pásu, je-li vyžadováno, zjevně chybí nebo je-li instalováno, zjevně neodpovídá požadavkům.",B
994,7.1.4.1.2,Systém ukazuje závadu předepínacího zařízení bezpečnostního pásu přes elektronické rozhraní vozidla,B
995,7.1.5.1.1,"Airbagy, jsou-li vyžadovány, zjevně chybí nebo jsou-li instalovány, zjevně neodpovídají požadavkům.",B
996,7.1.5.1.2,Systém ukazuje závadu Airbagu přes elektronické rozhraní vozidla,B
997,7.1.5.2,Airbag zjevně nefunguje (vystřelený) nebo kontrolka upozorňuje na nesprávnou funkci systému airbagu.,B
998,7.1.5.3,"Vozidlo, vybavené airbagy pro cestující na předních sedadlech, je-li vyžadováno, není opatřeno výstražným štítkem o nebezpečí při používání dětských zádržných systémů orientovaných proti směru jízdy.",A
999,7.1.6.1,Doplňující zádržný systém (např. ISOFIX) poškozený nebo kontrolka vadné funkce signalizuje jakékoliv selhání systému nebo doplňující zádržný systém neodpovídá požadavkům (nebezpečí poranění dítěte).,B
1000,7.1.6.2,Způsob montáže doplňujícího zádržného systému ve vozidle neodpovídá požadavkům.,B
1001,7.2.1,"Hasicí přístroj, je-li vyžadován, chybí nebo není zjevně funkční.",B
1002,7.2.2.1,"Upevnění některého hasicího přístroje je uvolněné, ale spolehlivost jeho uchycení není ohrožena.",A
1003,7.2.2.2,Počet předepsaných hasicích přístrojů ve vozidle nebo jejich minimální hasící schopnost není v souladu s požadavky nebo uchycení hasicího přístroje ve vozidle není spolehlivé.,B
1004,7.2.2.3,U autobusu není hasicí přístroj umístěn v bezprostřední blízkosti řidiče nebo některý předepsaný hasicí přístroj není snadno přístupný.,B
1005,7.2.3,Překročena lhůta povinné periodické prohlídky hasicího přístroje nebo periodická prohlídka přístroje chybí.,A
1006,7.2.4.1,"Automatický hasicí systém, je-li instalován, není zjevně funkční, nebo je již zjevně použitý nebo má překročenou lhůtu periodické prohlídky.",A
1007,7.2.4.2,"Automatický hasicí systém, je-li vyžadován, není zjevně funkční, nebo je již zjevně použitý nebo má překročenou lhůtu periodické prohlídky.",B
1008,7.3.1,"Zařízení bránící neoprávněnému použití vozidla, je-li vyžadováno (např. uzamykání volantu, řídítek, řazení), zjevně chybí, je nefunkční nebo neodpovídá požadavkům.",B
1009,7.3.2,"Zařízení bránící neoprávněnému použití vozidla může způsobit náhodné zablokování volantu, řídítek nebo může náhodně zablokovat převodové ústrojí nebo zabrzdit vozidlo.",C
1010,7.4.1.1,"Výstražný trojúhelník je částečně poškozený, ale není omezena jeho funkce (viditelnost, použitelnost).",A
1011,7.4.1.2,"Výstražný trojúhelník chybí, je neúplný nebo poškozený tak, že je omezena jeho funkce (viditelnost, použitelnost).",B
1012,7.4.2,Nehomologovaný / neschválený výstražný trojúhelník.,B
1013,7.5.1.1,"Vozidlo není vybaveno příslušným druhem lékárničky nebo obsah lékárničky je neúplný, poškozený nebo uložení lékárničky ve vozidle neodpovídá požadavkům stanoveným zvláštním právním předpisem",B
1014,7.5.1.2,V autobusu není lékárnička uložena na označeném nebo přístupném místě v prostoru pro cestující (je např. v zavazadlovém prostoru).,B
1015,7.6.1.1,"Zakládací klíny ke kolu nejsou v dobrém stavu, ale plní svoji funkci.",A
1016,7.6.1.2,"Vozidlo není vybaveno stanoveným minimálním počtem zakládacích klínů ke kolům nebo zakládací klín neodpovídá požadavkům nebo je poškozen natolik, že neplní svoji funkci.",B
1017,7.6.2,Uložení zakládacích klínů na vozidle neodpovídá požadavkům.,B
1018,7.7.1,"Zvukové výstražné zařízení motorového vozidla, je-li vyžadováno, nefunguje nebo chybí.",B
1019,7.7.2,Ovládání zvukového výstražného zařízení není spolehlivé.,A
1020,7.7.3.2,"Zvukové výstražné zařízení vydává zjevně kolísavý nerovnoměrný zvuk (např. fanfáry, lodní siréna, tramvaj).",B
1021,7.7.3.3,"Zvukové výstražné zařízení vozidla, je-li vyžadováno, není schváleného typu (např. použit zvonek na jízdní kolo, klakson s balónkem).",B
1022,7.7.3.4,Umístění zvukového výstražného zařízení na vozidle porušuje požadavky na vnější výčnělky (ostré hrany).,B
1023,7.8.1.2,"U silničního motorového vozidla, je-li vyžadováno, rychloměr chybí nebo není schváleného typu.",B
1024,7.8.2,Rychloměr není zjevně funkční.,B
1025,7.8.3.1,"Osvětlení stupnice rychloměru, je-li vyžadováno, není funkční.",B
1026,7.8.3.2,"U vozidla, schváleného v ČR po 1. 7. 2002, stupnice rychloměru není uvedena v km/h.",B
1027,7.9.1,"Záznamové zařízení, je-li vyžadováno, chybí nebo není v souladu s požadavky nebo bylo z vozidla zjevně demontováno nebo dodatečná montáž záznamového zařízení neodpovídá požadavkům (EC, digitální).",B
1028,7.9.2,"Záznamové zařízení / adaptér nefunguje, je poškozený nebo není plně funkční (např. tiskárna).",B
1029,7.9.3,Plomby u záznamového zařízení zjevně poškozené nebo zjevně chybí nebo zjevně neodpovídají požadavkům.,B
1030,7.9.4,"Montážní štítek záznamového zařízení chybí nebo je porušen tak, že není čitelný nebo je překročena lhůta pro periodickou prohlídku záznamového zařízení (vztahuje se pouze na vozidlo s povinností být vybaveno záznamovým zařízením) nebo není montážní štítek v souladu s požadavky.",B
1031,7.9.5,Zjevné zásahy nebo manipulace se záznamovým zařízením / adaptérem.,B
1032,7.9.6,"Rozměr pneumatik, uvedený v montážním štítku k záznamovému zařízení, nesouhlasí s pneumatikami hnaných kol (např. změna profilového čísla).",B
1033,7.10.1,"Vozidlo, je-li vyžadováno, není vybaveno / dovybaveno omezovačem rychlosti nebo podobným palubním systémem vozidla, které plní stejnou funkci omezení rychlosti.",B
1034,7.10.2,Omezovač rychlosti není zjevně funkční (překročení rychlosti).,B
1035,7.10.3,"Zjevný neoprávněný zásah do systému omezovače rychlosti, nastavená rychlost vozidla neodpovídá požadavkům (je-li kontrolováno).",B
1036,7.10.4,Plomby omezovače rychlosti zjevně poškozené nebo zjevně chybí nebo zjevně neodpovídají požadavkům.,B
1037,7.10.5,"Nastavená rychlost omezovače rychlosti není zřetelným způsobem uvedena na štítku v kabině řidiče vozidla nebo je štítek poškozený tak, že je nečitelný.",B
1038,7.10.6,"Rozměr pneumatik, uvedený v montážním štítku k omezovači rychlosti, nesouhlasí pneumatikami hnaných kol (např. změna profilového čísla).",B
1039,7.11.1.1,U počítadla ujeté vzdálenosti zjevná manipulace s počtem ujetých kilometrů.,B
1040,7.11.2.1,"Počitadlo ujeté vzdálenosti, zjevně nefunguje.",B
1041,7.11.2.2,"Počitadlo ujeté vzdálenosti, je-li vyžadováno, chybí.",B
1042,7.12.1.1,"Vozidlo, je-li vyžadováno, není vybaveno systémem elektronického řízení stability.",B
1043,7.12.1.2,Systém ukazuje závadu přes elektronické rozhraní vozidla.,B
1044,7.12.2,"Čidlo otáčení kol systému elektronického řízení stability nevhodně uchycené nebo poškozené tak, že neplní svoji funkci nebo chybí.",B
1045,7.12.3,"Elektrické kabely systému elektronického řízení stability jsou poškozené tak, že nejsou funkční nebo chybí.",B
1046,7.12.4,"Jiné části systému elektronické kontroly stability chybí nebo jsou poškozené tak, že systém není funkční.",B
1047,7.12.5,Spínač systému elektronické kontroly stability nefunguje v souladu s požadavky.,B
1048,7.12.6,Kontrolka vadné funkce systému elektronické kontroly stability ukazuje jakékoli selhání systému.,B
1049,7.90.1,Vozidlo není označeno předepsanými údaji.,B
1050,7.90.2.2,"Označení některých předepsaných údajů na vozidle je poškozené tak, že je nečitelné nebo neplní svoji funkci.",B
1051,7.90.2.3,Umístění nebo provedení některých předepsaných údajů na vozidle neodpovídá požadavkům nebo skutečnosti.,B
1052,7.91.1,"Pokud je tak vyžadováno, vozidlo není vybaveno klíčem na matice nebo šrouby kol.",B
1053,7.91.2,"Pokud je tak vyžadováno, vozidlo není vybaveno příručním zvedákem s předepsanou nosností.",B
1054,8.1.1.1,Hlučnost zjevně přesahuje úroveň povolenou v požadavcích.,B
1055,8.1.1.2.1,"Zařízení pro tlumení hluku ze vzduchotlakové soustavy chybí nebo je zjevně poškozené natolik, že neplní svoji funkci.",B
1056,8.1.1.2.2,"Zjevný zásah do výfukového systému, kterým je bezprostředně zatěžováno životní prostředí nadměrným hlukem.",C
1057,8.1.1.2.3,Velmi vysoké riziko odpadnutí některé části systému tlumení hluku.,C
1058,8.2.1.1.1,"Zařízení k omezení emisí namontované výrobcem chybí, je změněno nebo je zjevně poškozené.",B
1059,8.2.1.1.2,"Netěsnost zařízení k omezení emisí, která by měla vliv na měření emisí.",B
1060,8.2.1.2.1,Plynné emise zážehových motorů překračují hodnoty stanovené výrobcem.,B
1061,8.2.1.2.2,"Nestanoví-li výrobce vozidla hodnoty plynných emisí, je překročena povolená hodnota plynný emisí:",B
1062,8.2.1.2.3,Součinitel přebytku vzduchu lambda neodpovídá specifikaci výrobce.,B
1063,8.2.1.2.4,Zjištění z OBD značí zjevně nesprávnou funkci / nekompatibilní softwarová verze / s vozidlem nelze navázat komunikaci.,B
1064,8.2.1.2.5,U vozidel s OBD sdělovač MI (MIL) se po zapnutí zapalování nerozsvítí nebo po nastartování vozidla indikuje závadu.,B
1065,8.2.1.2.6,Zvýšený volnoběh - otáčky nejsou udržitelné ve stanoveném otáčkovém pásmu.,B
1066,8.2.1.2.7,Regulace základního volnoběhu - otáčky nejsou ve stanoveném otáčkovém pásmu.,B
1067,8.2.1.2.8,Nestandardní chování motoru vozidla znemožňující další měření.,B
1068,8.2.1.2.9,Emisně relevantní závady získané z řídící jednotky.,B
1069,8.2.2.1.1,"Zařízení k omezení emisí namontované výrobcem chybí, je změněno nebo je zjevně poškozené. V případě vozidla vybaveného filtrem pevných částic s emisní normou EURO 5 (V), EURO 6 (VI) je tato podmínka splněna také v případě, že je naměřena hodnota kouřivosti vyšší než 0,25 m",B
1070,8.2.2.1.2,"Netěsnost zařízení k omezení emisí, která by měla vliv na měření emisí.",B
1071,8.2.2.1.3,"Systém SCR k omezení emisí namontovaný výrobcem chybí, je změněn nebo zjevně vyřazen z funkčnosti.",B
1072,8.2.2.2.1.1,Naměřená hodnota kouřivosti přesahuje úroveň korigovaného součinitele absorpce uvedenou na štítku výrobce.,B
1073,8.2.2.2.1.2,"Pokud výrobce vozidla kategorie M nebo N s pohonem na motorovou naftu nebo s duálním pohonem nestanovil hodnotu korigovaného součinitele absorpce motoru, nesmí naměřená hodnota kouřivosti překročit:",B
1074,8.2.2.2.1.3,U vozidel s OBD sdělovač MI (MIL) se po zapnutí zapalování nerozsvítí nebo po nastartování vozidla indikuje závadu.,B
1075,8.2.2.2.1.4,Zjištění z OBD značí zjevně nesprávnou funkci / nekompatibilní softwarová verze / s vozidlem nelze navázat komunikaci.,B
1076,8.2.2.2.1.5,Regulace volnoběhu - otáčky nejsou ve stanoveném otáčkovém pásmu.,B
1077,8.2.2.2.1.6,Referenční nebo přeběhové otáčky nejsou ve stanoveném otáčkovém pásmu,B
1078,8.2.2.2.1.7,Překročení max. přípustných otáček motoru (omezovače).,B
1079,8.2.2.2.1.8,Povolený rozptyl kouřivosti byl překročen.,B
1080,8.2.2.2.1.9,Překročeny doby akcelerace.,B
1081,8.2.2.2.1.10,Nestandardní chování motoru vozidla znemožňující další měření.,B
1082,8.2.2.2.1.11,Emisně relevantní závady získané z řídící jednotky.,B
1083,8.2.2.2.2.1,Naměřená hodnota kouřivosti přesahuje úroveň korigovaného součinitele absorpce uvedenou na štítku výrobce.,B
1084,8.2.2.2.2.2,"Pokud výrobce vozidla kategorie T nebo C s pohonem na motorovou naftu nebo s duálním pohonem nestanovil hodnotu korigovaného součinitele absorpce motoru, nesmí naměřená hodnota kouřivosti překročit:",B
1085,8.2.2.2.2.3,U vozidel s OBD sdělovač MI (MIL) se po zapnutí zapalování nerozsvítí nebo po nastartování vozidla indikuje závadu.,B
1086,8.2.2.2.2.4,Zjištění z OBD značí zjevně nesprávnou funkci / nekompatibilní softwarová verze / s vozidlem nelze navázat komunikaci.,B
1087,8.2.2.2.2.5,Regulace volnoběhu - otáčky nejsou ve stanoveném otáčkovém pásmu.,B
1088,8.2.2.2.2.6,Referenční nebo přeběhové otáčky nejsou ve stanoveném otáčkovém pásmu,B
1089,8.2.2.2.2.7,Překročení max. přípustných otáček motoru (omezovače).,B
1090,8.2.2.2.2.8,Povolený rozptyl kouřivosti byl překročen.,B
1091,8.2.2.2.2.9,Překročeny doby akcelerace.,B
